r,q0,psi6_mean,psi6_std,psi2_mean,psi2_std,k_peak_mean,k_peak_std,n_unique_k,ring1_mean,broad_mean,n_seeds,k_ratio_mean,mode_entropy
0.1116,0.977,0.15720685034663676,0.06885360019474794,0.15549735200261494,0.0939484399125469,0.9750107934285539,0.0047048758881145245,50,0.9869309264242838,0.013069081882313505,50,0.9979639646146918,3.9120230053781455
0.1116,0.978,0.14074899195840185,0.07381565796611127,0.15935011998778512,0.08192576697530195,0.976194419159133,0.00412224022486865,50,0.9869694240470187,0.013030576790971596,50,0.9981538028211994,3.9120230053781455
0.1116,0.979,0.13080434593949902,0.08236738874644238,0.15443609792899196,0.10173500127989153,0.9775833099023886,0.004347098163568172,50,0.9868361626270837,0.013163843352207145,50,0.9985529212486094,3.9120230053781455
0.1116,0.98,0.14783244690410158,0.09250647797382713,0.16597634899858535,0.10335899074145444,0.9781004994051047,0.004663682803296868,50,0.9869087923926532,0.013091214099265093,50,0.9980617340868415,3.9120230053781455
0.1116,0.981,0.15498907408940676,0.08837139819429878,0.15530292797674355,0.0838631925586803,0.9794631527432495,0.004613886143433338,50,0.9869484099085365,0.013051591225277,50,0.9984333870981137,3.9120230053781455
0.1116,0.982,0.15518377428022107,0.08686653064409731,0.16341931499996637,0.08648915966659053,0.9809402881630951,0.004632359415497053,50,0.9873688075374605,0.012631205248798336,50,0.9989208637098728,3.9120230053781455
0.1116,0.983,0.151923204649966,0.09145900163933335,0.17231218857705435,0.09654123564554588,0.981095145798593,0.004691222731481857,50,0.9872374317243816,0.012762576779593469,50,0.9980622032539095,3.9120230053781455
0.1117,0.96,0.1444867697870166,0.07649285052464276,0.16869302658040353,0.08218450420943997,0.9584877900162303,0.003987094828451517,50,0.9860384827379772,0.013961523632269067,50,0.9984247812669066,3.9120230053781455
0.1117,0.961,0.15744785537113118,0.07992020179238551,0.16800950840675313,0.08857858883391356,0.9596676534173458,0.00415952823335317,50,0.9863893878979662,0.013610616441997092,50,0.9986135831606097,3.9120230053781455
0.1117,0.962,0.14891389200382593,0.0859361753277875,0.15517306817802365,0.08118677454834201,0.9605832177159757,0.004155623586514557,50,0.986123597303359,0.013876402695240951,50,0.9985272533430101,3.9120230053781455
0.1117,0.963,0.1615472922033317,0.07615511540937465,0.1793766835487186,0.10496461595664626,0.9619871394388578,0.0038363465944595294,50,0.9857898366495361,0.014210161936053506,50,0.9989482237163633,3.9120230053781455
0.1117,0.964,0.16015025200494395,0.09589081902364796,0.18925474902457506,0.09173502482481877,0.962689291691055,0.003939250865902393,50,0.986407598470416,0.013592407878603772,50,0.998640344077858,3.9120230053781455
0.1117,0.965,0.12811206834295513,0.0718524894920038,0.14970649334447642,0.09167321355909192,0.9636474733106992,0.004186933450266509,50,0.9859406719593128,0.014059326950839796,50,0.9985984179385484,3.9120230053781455
